#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Leishmania major strain Friedlin	347515	PRJNA10724	10724	Protists	Kinetoplasts	32.8551	59.7114	GCA_000002725.2	chromosome 1:NC_001905.3/FR796397.1; chromosome 2:NC_007244.2/FR796398.1; chromosome 3:NC_004916.2/FR796399.1; chromosome 4:NC_007245.2/FR796400.1; chromosome 5:NC_007246.2/FR796401.1; chromosome 6:NC_007247.2/FR796402.1; chromosome 7:NC_007248.2/FR796403.1; chromosome 8:NC_007249.2/FR796404.1; chromosome 9:NC_007250.2/FR796405.1; chromosome 10:NC_007251.2/FR796406.1; chromosome 11:NC_007252.2/FR796407.1; chromosome 12:NC_007253.2/FR796408.1; chromosome 13:NC_007254.2/FR796409.1; chromosome 14:NC_007255.2/FR796410.1; chromosome 15:NC_007256.2/FR796411.1; chromosome 16:NC_007257.2/FR796412.1; chromosome 17:NC_007258.2/FR796413.1; chromosome 18:NC_007259.2/FR796414.1; chromosome 19:NC_007260.2/FR796415.1; chromosome 20:NC_007261.2/FR796416.1; chromosome 21:NC_007262.2/FR796417.1; chromosome 22:NC_007263.2/FR796418.1; chromosome 23:NC_007264.2/FR796419.1; chromosome 24:NC_007265.2/FR796420.1; chromosome 25:NC_007266.2/FR796421.1; chromosome 26:NC_007267.2/FR796422.1; chromosome 27:NC_007268.2/FR796423.1; chromosome 28:NC_007269.2/FR796424.1; chromosome 29:NC_007270.2/FR796425.1; chromosome 30:NC_007271.2/FR796426.1; chromosome 31:NC_007272.2/FR796427.1; chromosome 32:NC_007273.2/FR796428.1; chromosome 33:NC_007285.2/FR796429.1; chromosome 34:NC_007286.2/FR796430.1; chromosome 35:NC_007284.2/FR796431.1; chromosome 36:NC_007287.2/FR796432.1	-	36	9388	8316	1998/06/29	2017/06/16	Complete Genome	Friedlin Consortium	SAMEA3138173
Trypanosoma brucei gambiense DAL972	679716	PRJEA40697	40697	Protists	Kinetoplasts	22.1481	47.1525	GCA_000210295.1	chromosome 1:NC_026734.1/FN554964.1; chromosome 2:NC_026735.1/FN554965.1; chromosome 3:NC_026736.1/FN554966.1; chromosome 4:NC_026737.1/FN554967.1; chromosome 5:NC_026738.1/FN554968.1; chromosome 6:NC_026739.1/FN554969.1; chromosome 7:NC_026740.1/FN554970.1; chromosome 8:NC_026741.1/FN554971.1; chromosome 9:NC_026742.1/FN554972.1; chromosome 10:NC_026743.1/FN554973.1; chromosome 11:NC_026744.1/FN554974.1	-	11	9930	9822	2009/10/14	2015/06/30	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272188
Giardia lamblia ATCC 50803	184922	PRJNA1439	1439	Protists	Other Protists	11.2136	49.2	GCA_000002435.1	-	AACB02	92	6583	6502	2003/03/26	2014/08/05	Scaffold	Marine Biological Laboratory	SAMN02952905
Toxoplasma gondii ME49	508771	PRJNA28893	28893	Protists	Apicomplexans	65.6681	52.2873	GCA_000006565.2	chromosome Ia:NC_031467.1/CM002034.1; chromosome Ib:NC_031468.1/CM002035.1; chromosome II:NC_031469.1/CM002036.1; chromosome III:NC_031470.1/CM002037.1; chromosome IV:NC_031471.1/CM002038.1; chromosome V:NC_031472.1/CM002039.1; chromosome VI:NC_031473.1/CM002040.1; chromosome VIIa:NC_031474.1/CM002041.1; chromosome VIIb:NC_031475.1/CM002042.1; chromosome VIII:NC_031476.1/CM002043.1; chromosome IX:NC_031477.1/CM002044.1; chromosome X:NC_031478.1/CM002045.1; chromosome XI:NC_031479.1/CM002046.1; chromosome XII:NC_031480.1/CM002047.1; apicoplast Pltd:NC_001799.1/U87145.2	ABPA02	2277	8505	8318	2008/05/20	2013/11/01	Chromosome	J. Craig Venter Institute	SAMN00255192
Plasmodium falciparum 3D7	36329	PRJNA13173	13173	Protists	Apicomplexans	23.2703	19.363	GCA_000002765.1	chromosome 1:NC_004325.1/AL844501.1; chromosome 2:NC_000910.2/AE001362.1; chromosome 3:NC_000521.3/AL844502.1; chromosome 4:NC_004318.1/AL844503.1; chromosome 5:NC_004326.1/AL844504.1; chromosome 6:NC_004327.2/AL844505.1; chromosome 7:NC_004328.2/AL844506.2; chromosome 8:NC_004329.2/AL844507.2; chromosome 9:NC_004330.1/AL844508.1; chromosome 10:NC_004314.2/AE014185.2; chromosome 11:NC_004315.2/AE014186.2; chromosome 12:NC_004316.3/AE014188.3; chromosome 13:NC_004331.2/AL844509.2; chromosome 14:NC_004317.2/AE014187.2; mitochondrion MT:AJ276844.1	-	15	5507	5339	1998/12/17	2017/03/20	Chromosome	Plasmodium falciparum Genome Sequencing Consortium	-
Cryptosporidium parvum Iowa II	353152	PRJNA144	144	Protists	Apicomplexans	9.10232	30.2256	GCA_000165345.1	chromosome 1:NC_006980.1/CM000429.1; chromosome 2:NC_006981.1/CM000430.1; chromosome 3:NC_006982.1/CM000431.1; chromosome 4:NC_006983.1/CM000432.1; chromosome 5:NC_006984.1/CM000433.1; chromosome 6:NC_006985.1/CM000434.1; chromosome 7:NC_006986.1/CM000435.1; chromosome 8:NC_006987.1/CM000436.1	AAEE01	8	7774	7610	2004/04/05	2009/11/11	Chromosome	Univ. Minnesota	SAMN02952908
Entamoeba histolytica HM-1:IMSS	294381	PRJNA142	142	Protists	Other Protists	20.8354	24.3	GCA_000208925.2	-	AAFB02	1529	8268	8163	2004/12/09	2014/08/06	Scaffold	J. Craig Venter Institute (TIGR)	SAMN02953605
Eimeria tenella	5802	PRJEB4863	224694	Protists	Apicomplexans	51.8944	51.0796	GCA_000499545.1	apicoplast Pltd:NC_004823.1/AY217738.1	CBUW01	4665	8660	8609	2013/10/30	2015/01/30	Scaffold	WTSI	SAMEA3138819
Plasmodium berghei	5821	PRJNA146	146	Protists	Apicomplexans	17.9546	23.7	GCA_000005395.1	-	CAAI01	7479	10024	9821	2004/11/15	2015/01/30	Scaffold	Sanger Institute	SAMEA3138182
Plasmodium chabaudi chabaudi	31271	PRJEB5711	256944	Protists	Apicomplexans	18.8678	23.6106	GCA_900002335.1	chromosome 1:NC_030101.1/LK022878.1; chromosome 2:NC_030102.1/LK022879.1; chromosome 3:NC_030103.1/LK022880.1; chromosome 4:NC_030104.1/LK022881.1; chromosome 5:NC_030105.1/LK022882.1; chromosome 6:NC_030106.1/LK022883.1; chromosome 7:NC_030107.1/LK022884.1; chromosome 8:NC_030108.1/LK022885.1; chromosome 9:NC_030109.1/LK022886.1; chromosome 10:NC_030110.1/LK022887.1; chromosome 11:NC_030111.1/LK022888.1; chromosome 12:NC_030112.1/LK022889.1; chromosome 13:NC_030113.1/LK022890.1; chromosome 14:NC_030114.1/LK022891.1; mitochondrion MIT:NW_015971901.1/LK022893.1; apicoplast Pltd:NC_023293.1/HF563595.1	-	39	5314	5158	2014/08/27	2016/05/13	Chromosome	WTSI	SAMEA768774
Plasmodium knowlesi strain H	5851	PRJEA28803	28803	Protists	Apicomplexans	23.4622	39.1684	GCA_000006355.1	chromosome 1:NC_011902.1/AM910983.1; chromosome 2:NC_011903.1/AM910984.1; chromosome 3:NC_011904.1/AM910985.1; chromosome 4:NC_011905.1/AM910986.1; chromosome 5:NC_011906.1/AM910987.1; chromosome 6:NC_011907.1/AM910988.2; chromosome 7:NC_011908.1/AM910989.1; chromosome 8:NC_011909.1/AM910990.1; chromosome 9:NC_011910.1/AM910991.1; chromosome 10:NC_011911.1/AM910992.1; chromosome 11:NC_011912.1/AM910993.1; chromosome 12:NC_011913.1/AM910994.1; chromosome 13:NC_011914.1/AM910995.1; chromosome 14:NC_011915.1/AM910996.2	-	14	5157	5101	2008/07/04	2017/06/16	Chromosome	Wellcome Trust Sanger Institute	SAMEA2272753
Babesia bovis	5865	PRJNA18731	18731	Protists	Apicomplexans	8.17971	41.6127	GCA_000165395.1	chromosome 2:NC_010574.1/AAXT01000003.1; chromosome 3:NC_010575.1/AAXT01000001.1; mitochondrion MT:NC_009902.1/EU075182.1; apicoplast API:NC_011395.1/AAXT01000007.1	AAXT01	14	3781	3706	2007/08/06	2010/03/10	Chromosome	The J. Craig Venter Institute	SAMN02953679
Theileria annulata	5874	PRJNA153	153	Protists	Apicomplexans	8.35812	32.5492	GCA_000003225.1	chromosome 1:NW_001091929.1/CR940347.1; chromosome 2:NC_011099.1/CR940348.1; chromosome 3:NC_011100.1/CR940352.2; chromosome 4:NC_011098.1/CR940353.1	-	8	3796	3795	2005/05/15	2017/03/30	Chromosome	The Sanger Institute	SAMEA3138180
Theileria parva	5875	PRJNA16138	16138	Protists	Apicomplexans	8.34761	34.0411	GCA_000165365.1	chromosome 1:NC_007344.1/AAGK01000001.1; chromosome 2:NC_007345.1/AAGK01000002.1; apicoplast Pltd:NC_007758.1/AAGK01000009.1	AAGK01	9	4141	4061	2005/06/30	2010/03/10	Chromosome	TIGR	SAMN02953620
Encephalitozoon cuniculi GB-M1	284813	PRJNA13833	13833	Fungi	Other Fungi	2.49752	47.3005	GCA_000091225.1	chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.1/AL590450.1	-	11	2029	1996	2001/02/05	2015/02/27	Chromosome	Genoscope	SAMEA3138295
Plasmodium vivax	5855	PRJNA150	150	Protists	Apicomplexans	27.0137	42.2825	GCA_000002415.2	chromosome 1:NC_009906.1/CM000442.1; chromosome 2:NC_009907.1/CM000443.1; chromosome 3:NC_009908.2/CM000444.2; chromosome 4:NC_009909.1/CM000445.1; chromosome 5:NC_009910.1/CM000446.1; chromosome 6:NC_009911.1/CM000447.1; chromosome 7:NC_009912.1/CM000448.1; chromosome 8:NC_009913.1/CM000449.1; chromosome 9:NC_009914.1/CM000450.1; chromosome 10:NC_009915.1/CM000451.1; chromosome 11:NC_009916.1/CM000452.1; chromosome 12:NC_009917.1/CM000453.1; chromosome 13:NC_009918.1/CM000454.1; chromosome 14:NC_009919.1/CM000455.1; mitochondrion MT:NC_007243.1/AY598140.1	AAKM01	2748	5478	5392	2005/09/20	2009/11/11	Chromosome	TIGR	SAMN02953638
Caenorhabditis briggsae	6238	PRJNA10731	10731	Animals	Roundworms	108.384	37.6966	GCA_000004555.3	chromosome I:FR847112.2; chromosome II:FR847113.2; chromosome III:FR847114.2; chromosome IV:FR847118.2; chromosome V:FR847121.2; chromosome X:FR847123.2	CAAC03	638	22736	21959	2002/08/22	2015/04/10	Chromosome	The C.briggsae Sequencing Consortium	SAMEA3138181
Caenorhabditis elegans	6239	PRJNA13758	13758	Animals	Roundworms	100.286	35.4317	GCA_000002985.3	chromosome I:NC_003279.8/BX284601.5; chromosome II:NC_003280.10/BX284602.5; chromosome III:NC_003281.10/BX284603.4; chromosome IV:NC_003282.8/BX284604.4; chromosome V:NC_003283.11/BX284605.5; chromosome X:NC_003284.9/BX284606.5; mitochondrion MT:NC_001328.1/X54252.1	-	7	46735	28233	2001/12/03	2017/09/06	Complete Genome	C. elegans Sequencing Consortium	SAMEA3138177
Brugia malayi	6279	PRJNA10729	10729	Animals	Roundworms	93.6591	31.499	GCA_000002995.2	mitochondrion MT:NC_004298.1/AF538716.1	AAQA01	24286	11441	11472	2002/09/25	2016/07/24	Scaffold	WormBase group, EBI	SAMN02953652
Aedes aegypti	7159	PRJNA392114	392114	Animals	Insects	1278.73	38.1667	GCA_002204515.1	chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1	NIGP01	2310	19339	28317	2017/06/15	2017/06/23	Chromosome	NCBI	SAMN07177802
Anopheles gambiae str. PEST	180454	PRJNA1438	1438	Animals	Insects	265.027	44.5151	GCA_000005575.1	chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; mitochondrion MT:NC_002084.1/L20934.1	AAAB01	8145	13184	14099	2002/03/22	2011/09/28	Chromosome	The International Consortium for the Sequencing of Anopheles Genome	SAMN02952903
Drosophila melanogaster	7227	PRJNA13669	13669	Animals	Insects	143.726	42.0803	GCA_000001215.4	chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2	-	1870	17682	30482	2002/04/30	2017/03/14	Chromosome	Department of Biochemistry, Michigan State University	SAMN02803731
Aedes albopictus	7160	PRJNA357111	357111	Animals	Insects	2247.31	40.3999	GCA_001876365.2	mitochondrion MT:NC_006817.1/AY072044.1	MNAF02	2435	38274	42912	2016/11/10	2017/01/24	Contig	NCBI	SAMN05908721
Apis mellifera	7460	PRJNA10625	10625	Animals	Insects	250.287	34.1338	GCA_000002195.1	linkage group LG1:NC_007070.3/CM000054.5; linkage group LG2:NC_007071.3/CM000055.5; linkage group LG3:NC_007072.3/CM000059.5; linkage group LG4:NC_007073.3/CM000060.5; linkage group LG5:NC_007074.3/CM000058.5; linkage group LG6:NC_007075.3/CM000056.5; linkage group LG7:NC_007076.3/CM000063.5; linkage group LG8:NC_007077.3/CM000061.5; linkage group LG9:NC_007078.3/CM000062.5; linkage group LG10:NC_007079.3/CM000068.5; linkage group LG11:NC_007080.3/CM000057.5; linkage group LG12:NC_007081.3/CM000067.5; linkage group LG13:NC_007082.3/CM000064.5; linkage group LG14:NC_007083.3/CM000065.5; linkage group LG15:NC_007084.3/CM000066.5; linkage group LG16:NC_007085.3/CM000069.5; mitochondrion MT:NC_001566.1/L06178.1	AADG06	5645	13885	22456	2003/12/19	2014/08/04	Chromosome	Human Genome Sequencing Center	SAMN00002455
Danio rerio	7955	PRJNA11776	11776	Animals	Fishes	1679.2	36.6374	GCA_000002035.4	chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/AC024175.3	-	2848	46998	57100	2005/07/05	2017/06/26	Chromosome	Genome Reference Consortium	SAMN06930106
Homo sapiens	9606	PRJNA31257	31257	Animals	Mammals	3253.85	41.4671	GCA_000001405.26	chromosome 1:NC_000001.11/CM000663.2; chromosome 2:NC_000002.12/CM000664.2; chromosome 3:NC_000003.12/CM000665.2; chromosome 4:NC_000004.12/CM000666.2; chromosome 5:NC_000005.10/CM000667.2; chromosome 6:NC_000006.12/CM000668.2; chromosome 7:NC_000007.14/CM000669.2; chromosome 8:NC_000008.11/CM000670.2; chromosome 9:NC_000009.12/CM000671.2; chromosome 10:NC_000010.11/CM000672.2; chromosome 11:NC_000011.10/CM000673.2; chromosome 12:NC_000012.12/CM000674.2; chromosome 13:NC_000013.11/CM000675.2; chromosome 14:NC_000014.9/CM000676.2; chromosome 15:NC_000015.10/CM000677.2; chromosome 16:NC_000016.10/CM000678.2; chromosome 17:NC_000017.11/CM000679.2; chromosome 18:NC_000018.10/CM000680.2; chromosome 19:NC_000019.10/CM000681.2; chromosome 20:NC_000020.11/CM000682.2; chromosome 21:NC_000021.9/CM000683.2; chromosome 22:NC_000022.11/CM000684.2; chromosome X:NC_000023.11/CM000685.2; chromosome Y:NC_000024.10/CM000686.2; mitochondrion MT:NC_012920.1/J01415.2	-	858	60298	114419	2002/08/02	2016/06/06	Chromosome	Genome Reference Consortium	-
